BRANCH_ID,AREA,REGION
VN10114,R01,BAC
VN10115,R07,TRUNG
VN10115,R11,NAM
VN10116,R09,TRUNG
VN10116,R13,NAM
VN10117,R10,NAM
VN10118,R10,NAM
VN10119,R12,NAM
VN10120,R13,NAM
VN10121,R09,TRUNG
VN10123,R01,BAC
VN10124,R05,BAC
VN10125,R04,BAC
VN10126,R01,BAC
VN10127,R05,BAC
VN10128,R04,BAC
VN10129,R01,BAC
VN10130,R04,BAC
VN10131,R05,BAC
VN10132,R05,BAC
VN10135,R12,NAM
VN10136,R11,NAM
VN10137,R12,NAM
VN10138,R11,NAM
VN10139,R10,NAM
VN10140,R10,NAM
VN10142,R09,TRUNG
VN10144,R06,TRUNG
VN10145,R06,TRUNG
VN10146,R01,BAC
VN10148,R04,BAC
VN10149,R12,NAM
VN10151,R09,TRUNG
VN10152,R12,NAM
VN10153,R10,NAM
VN10155,R01,BAC
VN10156,R05,BAC
VN10157,R12,NAM
VN10158,R06,TRUNG
VN10159,R04,BAC
VN10160,R13,NAM
VN10161,R11,NAM
VN10162,R09,TRUNG
VN10163,R05,BAC
VN10164,R05,BAC
VN10165,R05,BAC
VN10166,R08,TRUNG
VN10167,R08,TRUNG
VN10168,R11,NAM
VN10169,R13,NAM
VN10170,R13,NAM
VN10171,R07,TRUNG
VN10172,R09,TRUNG
VN10173,R12,NAM
VN10174,R13,NAM
VN10175,R11,NAM
VN10176,R12,NAM
VN10178,R04,BAC
VN10179,R08,TRUNG
VN10180,R04,BAC
VN10181,R01,BAC
VN10182,R04,BAC
VN10183,R13,NAM
VN10184,R04,BAC
VN10185,R12,NAM
VN10186,R04,BAC
VN10187,R10,NAM
VN10188,R08,TRUNG
VN10189,R01,BAC
VN10191,R12,NAM
VN10192,R06,TRUNG
VN10193,R12,NAM
VN10194,R12,NAM
VN10195,R12,NAM
VN10196,R12,NAM
VN10198,R11,NAM
VN10199,R09,TRUNG
VN10200,R09,TRUNG
VN10201,R12,NAM
VN10202,R04,BAC
VN10203,R01,BAC
VN10204,R06,TRUNG
VN10205,R05,BAC
VN10206,R05,BAC
VN10207,R11,NAM
VN10208,R10,NAM
VN10210,R12,NAM
VN10211,R08,TRUNG
VN10212,R10,NAM
VN10215,R12,NAM
VN10216,R01,BAC
VN10217,R05,BAC
VN10219,R13,NAM
VN10220,R06,TRUNG
VN10223,R11,NAM
VN10224,R13,NAM
VN10225,R07,TRUNG
VN10228,R01,BAC
VN10230,R05,BAC
VN10231,R11,NAM
VN10232,R04,BAC
VN10233,R06,TRUNG
VN10235,R06,TRUNG
VN10236,R08,TRUNG
VN10237,R10,NAM
VN10238,R06,TRUNG
VN10239,R13,NAM
VN10241,R13,NAM
VN10242,R13,NAM
VN10243,R08,TRUNG
VN10244,R01,BAC
VN10247,R08,TRUNG
VN10248,R04,BAC
VN10249,R05,BAC
VN10250,R09,TRUNG
VN10251,R06,TRUNG
VN10252,R10,NAM
VN10253,R01,BAC
VN10254,R04,BAC
VN10257,R01,BAC
VN10258,R04,BAC
VN10259,R11,NAM
VN10260,R12,NAM
VN10261,R05,BAC
VN10262,R08,TRUNG
VN10263,R05,BAC
VN10264,R05,BAC
VN10265,R04,BAC
VN10266,R13,NAM
VN10267,R11,NAM
VN10268,R11,NAM
VN10269,R09,TRUNG
VN10271,R08,TRUNG
VN10272,R10,NAM
VN10274,R11,NAM
VN10275,R13,NAM
VN10276,R01,BAC
VN10277,R04,BAC
VN10278,R12,NAM
VN10279,R09,TRUNG
VN10280,R05,BAC
VN10282,R11,NAM
VN10283,R05,BAC
VN10284,R04,BAC
VN10285,R13,NAM
VN10286,R12,NAM
VN10287,R06,TRUNG
VN10288,R10,NAM
VN10289,R10,NAM
VN10290,R04,BAC
VN10291,R06,TRUNG
VN10292,R09,TRUNG
VN10293,R08,TRUNG
VN10294,R06,TRUNG
VN10295,R09,TRUNG
VN10296,R13,NAM
VN10297,R06,TRUNG
VN10298,R08,TRUNG
VN10299,R10,NAM
VN10300,R06,TRUNG
VN10301,R08,TRUNG
VN10304,R07,TRUNG
VN10305,R08,TRUNG
VN10306,R05,BAC
VN10307,R08,TRUNG
VN10308,R09,TRUNG
VN10309,R10,NAM
VN10310,R05,BAC
VN10311,R01,BAC
VN10312,R10,NAM
VN10314,R13,NAM
VN10315,R04,BAC
VN10316,R05,BAC
VN10318,R12,NAM
VN10320,R09,TRUNG
VN10321,R07,TRUNG
VN10322,R04,BAC
VN10323,R04,BAC
VN10326,R08,TRUNG
VN10327,R08,TRUNG
VN10330,R08,TRUNG
VN10331,R13,NAM
VN10334,R11,NAM
VN10335,R11,NAM
VN10337,R01,BAC
VN10338,R01,BAC
VN10341,R01,BAC
VN10342,R04,BAC
VN10350,R09,TRUNG
VN10351,R01,BAC
VN10354,R11,NAM
VN10355,R12,NAM
VN10356,R11,NAM
VN10362,R11,NAM
VN10363,R13,NAM
VN10364,R11,NAM
VN10365,R11,NAM
VN10366,R13,NAM
VN10368,R12,NAM
