CUST_NO,GENDER,BOD,PROVINCE
1000124,Female,1963-04-19,Khanh Hoa
1000329,Female,1988-07-13,Da Nang
1000384,Male,1992-07-14,Ha Noi
1000439,Male,1983-10-03,Binh Dinh
1000490,Female,1987-04-06,Ha Noi
1000552,Male,1965-11-07,Ha Noi
1000558,Female,1972-01-08,Ba Ria - Vung Tau
1000628,Female,1990-12-18,An Giang
1000635,Female,1978-05-25,Ha Noi
1000657,Female,1963-02-23,Phu Tho
1000716,Female,1983-11-19,Ha Noi
1000834,Female,1984-02-24,Binh Duong
1000853,Female,1996-08-13,Nam Dinh
1000915,Female,1992-12-03,Binh Duong
1000995,Female,1995-12-07,Thai Binh
1001526,Male,1994-08-30,Quang Tri
1001630,Male,1984-08-02,TP Ho Chi Minh
1001734,Male,1981-07-04,Ha Noi
1001985,Male,1980-11-18,Ha Noi
1002553,Male,1990-04-22,Binh Duong
1002685,Male,1939-04-22,Ha Noi
1002783,Male,1986-06-20,Ha Tinh
1002931,Female,1986-01-15,Binh Duong
1002979,Male,1975-10-19,Bac Giang
1003185,Male,1952-10-26,Nghe An
1004019,Male,1978-09-22,Ha Noi
1004091,Female,1960-06-27,Ha Noi
1005120,Male,1985-09-20,Khanh Hoa
1005249,Male,1961-05-22,Ha Noi
1005282,Male,1958-08-10,Ha Noi
1005295,Male,1991-03-24,Ha Noi
1005402,Male,1960-02-15,Ha Noi
1005459,Female,1965-08-17,TP. Ho Chi Minh
1005640,Female,1988-01-29,TP. Ho Chi Minh
1006106,Male,1964-12-19,Long An
1006216,Female,1985-05-21,TP. Ho Chi Minh
1006326,Female,1975-09-12,TP. Ho Chi Minh
1009090,Female,1973-05-27,Hai Phong
1009852,Female,1971-04-17,Kien Giang
1010115,Male,1961-12-23,Ha Noi
1048611,Female,1978-11-11,QUANG NINH
105640,Female,1971-09-13,Ha Noi
107753,Male,1980-03-09,TP. Ho Chi Minh
1077633,Male,1987-09-14,Bac Giang
1088238,Female,1971-02-26,Ha Tinh
1099897,Male,1968-07-21,TP. Ho Chi Minh
1113097,Male,1973-04-06,TP. Ho Chi Minh
1129187,Female,1989-08-05,TP. Ho Chi Minh
1137632,Male,1979-11-05,Ha Noi
1146947,Male,1976-10-22,Thai Nguyen
114975,Male,1963-03-14,TP. Ho Chi Minh
1160957,Female,1972-11-10,TP. Ho Chi Minh
116241,Female,1965-04-30,Khanh Hoa
1173747,Male,1985-03-14,Thua Thien - Hue
1176051,Male,1975-12-09,Dong Nai
1183652,Female,1992-02-10,Ha Noi
1206588,Male,1968-04-18,TP Ho Chi Minh
1207120,Male,1974-08-23,Quang Tri
1207417,Female,1987-09-28,Ha Noi
1211765,Male,1988-03-30,TP. Ho Chi Minh
1213757,Male,1987-11-26,Ha Noi
1214064,Male,1984-10-24,TP. Ho Chi Minh
1215402,Male,1982-10-13,TP Ho Chi Minh
1215525,Male,1977-07-04,Ha Noi
1222166,Male,1982-07-20,Ha Noi
1223890,Female,1992-04-16,Ha Noi
1242241,Male,1971-09-11,Ha Noi
1244675,Male,1975-06-16,TP Ho Chi Minh
124701,Female,1963-05-19,Ha Noi
1251924,Male,1987-10-29,Thanh Hoa
1279710,Male,1985-01-30,Ha Noi
1293240,Male,1985-07-08,TP Ho Chi Minh
1307246,Female,1990-11-14,TP. Ho Chi Minh
1317063,Male,1983-10-06,TP. Ho Chi Minh
1323068,Male,1974-04-17,Ha Noi
1333904,Female,1985-12-18,Bac Ninh
1334013,Female,1990-04-28,Ha Noi
1334630,Female,1991-06-20,Thanh pho Ha Noi
135294,Male,1963-02-02,Ha Noi
1355820,Male,1968-11-26,Ha Noi
1360303,Female,1989-10-22,Binh Thuan
1363682,Male,1985-10-09,TP Ho Chi Minh
1368147,Male,1977-02-19,TP Ho Chi Minh
1380277,Male,1977-09-06,TP. Ho Chi Minh
1380350,Male,1981-11-29,Ha Noi
1386773,Male,1985-07-04,Ha Noi
1401424,Male,1994-01-31,TP. Ho Chi Minh
140823,Female,1967-04-14,Ha Noi
1448414,Female,1988-03-06,Thai Binh
1453321,Female,1968-06-09,Thua Thien - Hue
1454238,Female,1991-10-07,Ha Noi
1455281,Male,1988-01-17,TP. Ho Chi Minh
1465702,Male,1992-01-12,TP HCM
1468927,Male,1958-07-05,TP. Ho Chi Minh
1471063,Male,1971-06-25,TP. Ho Chi Minh
1485691,Female,1959-12-09,Ha Noi
1509823,Male,1985-03-26,Dong Nai
1510100,Female,1965-12-30,Ha Noi
1523695,Male,1970-05-28,TP. Ho Chi Minh
1529870,Male,1993-03-07,TP. Ho Chi Minh
1557832,Male,1971-05-17,TP. Ho Chi Minh
1562377,Male,1994-02-04,HA NOI
1576860,Female,1969-12-29,TP. Ho Chi Minh
1585612,Male,1967-03-19,TP. Ho Chi Minh
1594240,Female,1979-05-27,Hoa Binh
1608372,Male,1978-07-13,TP. Ho Chi Minh
1626425,Female,1967-02-22,Quang Ninh
1627021,Male,1983-10-08,Ha Noi
1637054,Female,1988-03-30,Ha Noi
1650030,Female,1983-07-27,TP. Ho Chi Minh
1665663,Male,1982-10-10,TP. Ho Chi Minh
167059,Female,1959-09-29,Nghe An
1673420,Female,1996-04-16,TP. Ho Chi Minh
1675360,Female,1955-07-21,Long An
1715394,Female,1994-08-12,TP. Ho Chi Minh
1715758,Male,1968-05-28,TP Ho Chi Minh
1721808,Male,1991-10-18,Ha Noi
1723186,Female,1991-05-31,Long An
1723272,Male,1976-08-22,Ha Noi
1730913,Male,1977-03-10,TP Ho Chi Minh
1734434,Male,1982-10-22,TP. Ho Chi Minh
1746912,Male,1992-06-01,Ninh Binh
1748091,Male,1972-10-14,Nghe An
1748723,Female,1973-03-11,TP. Ho Chi Minh
1749340,Female,1992-01-20,Ha Noi
1749712,Male,1984-11-06,TP. Ho Chi Minh
1749908,Male,1974-02-16,Nam Dinh
1750120,Female,1989-04-02,Binh Duong
1750145,Female,1972-06-20,Binh Phuoc
1751790,Female,1983-05-28,Nam Dinh
1752090,Female,1995-04-23,Ha Noi
1753327,Male,1988-05-13,TP. Ho Chi Minh
1753351,Female,1984-12-16,Thai Binh
1753504,Female,1994-01-26,Quang Ninh
1753550,Female,1996-12-15,An Giang
1753804,Male,1991-11-20,Khanh Hoa
1754831,Female,1994-03-01,TP. Ho Chi Minh
1755640,Female,1994-09-13,TP. Ho Chi Minh
1756777,Female,1993-07-10,TP. Ho Chi Minh
1757157,Male,1980-03-01,TP. Ho Chi Minh
1758179,Male,1982-06-30,Quang Ninh
1760257,Female,1964-04-27,Ha Tinh
1761623,Male,1995-10-18,Ha Noi
1762194,Male,1986-01-26,TP. Ho Chi Minh
1762269,Female,1979-06-06,TP. Ho Chi Minh
1762501,Male,1980-10-11,TP. Ho Chi Minh
1762643,Male,1997-02-13,TP. Ho Chi Minh
1762863,Female,1973-03-29,TP. Ho Chi Minh
1763495,Male,1995-04-10,TP. Ho Chi Minh
1764118,Male,1993-09-03,Can Tho
1764638,Female,1985-08-10,Thai Binh
1765668,Female,1989-12-26,An Giang
1766366,Male,1986-12-01,TP. Ho Chi Minh
1767228,Female,1981-09-24,TP. Ho Chi Minh
1767538,Female,1961-03-09,Ha Noi
1768012,Male,1990-07-11,Long An
1768220,Female,1985-07-02,An Giang
1769574,Male,1991-12-30,Ha Noi
1000342,Female,1970-04-05,TP. Ho Chi Minh
1000357,Male,1956-08-05,TP. Ho Chi Minh
1000383,Male,1991-03-29,Ha Noi
1000705,Female,1995-04-29,Phu Tho
1000841,Male,1963-04-12,Ha Noi
1000845,Female,1984-03-22,Ha Noi
1000943,Female,1995-04-24,Phu Tho
1000954,Female,2014-03-29,Quang Tri
1001124,Male,1987-08-07,Nghe An
1001573,Female,1980-09-07,Da Nang
1001622,Female,1986-07-23,Ba Ria - Vung Tau
1001775,Female,1992-11-04,Thai Binh
1001845,Male,1994-10-08,TP. Ho Chi Minh
1002033,Male,1967-05-22,TP. Ho Chi Minh
1002103,Male,1990-02-16,Ha Noi
1002619,Female,1983-06-29,Binh Duong
1002627,Male,1965-08-15,Thanh pho Ha Noi
1003130,Male,1960-05-20,Ha Noi
1003476,Male,1982-08-19,Ha Noi
1003688,Female,1982-09-17,TP. Ho Chi Minh
1004985,Male,1992-05-15,Ha Noi
1005372,Female,1990-01-12,Ha Noi
1005427,Male,1990-11-22,Ha Noi
1005534,Male,1989-01-27,Ha Noi
1005682,Male,1986-10-01,TP. Ho Chi Minh
1005704,Male,1972-01-11,Khanh Hoa
1005943,Male,1987-09-23,Ha Noi
1006478,Male,1968-09-29,Ha Noi
1006660,Male,1987-11-11,Ha Noi
1006747,Male,1979-05-28,Ha Noi
1006821,Male,1990-03-02,Ha Noi
1006909,Male,1986-09-01,Ha Noi
1009186,Female,1986-11-23,Ha Noi
1009279,Male,1990-07-18,TP. Ho Chi Minh
1009620,Female,1969-07-16,TP. Ho Chi Minh
1009698,Male,1960-10-27,TP. Ho Chi Minh
1010185,Female,1966-01-13,Hoa Binh
1010838,Male,1975-11-05,Ha Noi
1017782,Male,1975-05-20,Ha Noi
1020066,Male,1971-07-16,Hoa Binh
1025228,Female,1971-02-23,Ha Noi
1051563,Female,1962-04-03,TP. Ho Chi Minh
1054399,Male,1990-05-21,Ha Noi
1073973,Male,1966-09-07,TP Ho Chi Minh
107566,Female,1959-10-27,Hai Phong
1077628,Male,1994-04-30,Ha Noi
1078972,Female,1984-10-06,TP Ho Chi Minh
1082681,Male,1964-10-28,TP. Ho Chi Minh
1102953,Female,1973-06-19,TP. Ho Chi Minh
1105131,Female,1971-06-13,TP. Ho Chi Minh
1130369,Male,1988-10-07,TP Ho Chi Minh
1155752,Male,1982-08-26,Hai Phong
1218769,Female,1992-06-10,Dong Nai
1227598,Female,1973-08-10,Da Nang
1235402,Female,1977-02-15,Ha Noi
1240311,Male,1979-04-03,Nghe An
1240547,Male,1992-05-26,Ha Noi
1246701,Female,1976-05-10,Binh Duong
1257861,Male,1982-11-15,Ha Noi
1261126,Female,1990-03-23,TP. Ho Chi Minh
126843,Male,1974-01-16,Ha Noi
1269050,Male,1991-05-09,TP. Ho Chi Minh
1272702,Male,1977-07-23,Hai Phong
1274859,Male,1953-01-07,AN GIANG
1290786,Male,1991-05-11,Ha Noi
1293248,Male,1962-01-17,Vinh Long
1294881,Male,1986-12-26,TP Ho Chi Minh
1364498,Female,1975-04-08,TP Ho Chi Minh
1401800,Male,1970-07-17,Ha Noi
1406782,Female,1965-09-26,TP. Ho Chi Minh
1414807,Male,1960-01-20,Ha Noi
1426751,Female,1962-06-19,Ha Noi
1460585,Female,1957-05-03,Da Nang
1463530,Female,1988-03-25,TP Ho Chi Minh
1495549,Male,1992-02-20,TP. Ho Chi Minh
1511958,Male,1995-10-27,TP. Ho Chi Minh
1513433,Female,1972-03-24,TP. Ho Chi Minh
1527277,Male,1990-11-03,Phu Tho
1531811,Female,1966-04-06,Bac Ninh
1543421,Male,1992-01-06,TP. Ho Chi Minh
1547288,Female,1964-07-12,Ha Noi
1555130,Male,1970-09-08,Ha Noi
1558835,Female,1995-12-11,TP. Ho Chi Minh
1560624,Female,1979-02-20,TP. Ho Chi Minh
1578371,Male,1984-10-21,Thanh Hoa
1592388,Female,1996-10-17,Khanh Hoa
1608310,Male,1980-12-17,Ha Noi
1612024,Male,1981-05-27,Ha Noi
1633286,Female,1995-11-02,TP. Ho Chi Minh
1633866,Male,1984-07-15,Vinh Phuc
1653274,Male,1985-07-02,TP. Ho Chi Minh
1657321,Female,1972-12-14,Nghe An
167152,Male,1976-06-18,Ha Noi.
1676298,Male,1984-04-30,Thanh pho Ha Noi
1677627,Female,1991-03-14,Hai Duong
1680023,Male,1967-02-14,TP. Ho Chi Minh
1684738,Female,1968-04-17,TP. Ho Chi Minh
1707482,Female,1989-02-01,Da Nang
1710915,Female,1979-10-12,Ha Noi
1712723,Female,1976-01-16,Thua Thien - Hue
1714710,Female,1978-09-23,Quang Binh
1720569,Male,1996-08-29,Ha Noi
1720833,Female,1993-12-11,Dac Lac
1722697,Male,1987-06-19,TP Ho Chi Minh
1723411,Male,1988-05-08,Khanh Hoa
1725247,Female,1986-07-06,Hai Phong
1736360,Female,1975-06-19,TP. Ho Chi Minh
1738219,Female,1997-10-26,Binh Phuoc
1743783,Male,1971-07-29,Ha Noi
1746413,Male,1995-01-11,Da Nang
1746906,Male,1986-06-24,Ha Tinh
1747825,Male,1984-11-24,Hai Phong
1748433,Male,1997-06-03,Ha Tinh
1749025,Male,1992-08-08,TP. Ho Chi Minh
1750018,Female,1986-04-15,Hai Duong
1751483,Male,1990-09-13,Dong Thap
1751611,Male,1993-09-18,Ha Noi
1751928,Male,1988-11-13,Quang Ninh
1752736,Female,1991-03-16,Ha Noi
1753006,Female,1993-06-04,Ha Noi
1753709,Male,1994-12-31,Da Nang
1753951,Male,1962-06-03,Long An
1755160,Female,1978-09-17,Ha Noi
