CUST_NO,CURRENCY,BRANCH_ID,PRO_NAME,DUE_DAYS,BALANCE
2200675,VND,VN10176,Household,5,128250
2856443,VND,VN10307,Mortgage,2,500
2791801,VND,VN10166,Mortgage,29,40986
2625376,VND,VN10250,Household,8,239500
2845801,VND,VN10120,Mortgage,10,112666
3375077,VND,VN10114,Mortgage,3,29297
3010473,VND,VN10338,Mortgage,51,7636
28711,VND,VN10283,Household,8,2584035
2868223,VND,VN10212,Household,1,14143
3403839,VND,VN10338,Mortgage,6,56500
2587795,VND,VN10308,Mortgage,0,500
2604630,VND,VN10327,Household,1,580092
2705013,VND,VN10334,Household,5,195744
3278795,VND,VN10266,Mortgage,9,43597
3189135,VND,VN10341,Household,9,294500
1020066,VND,VN10233,Household,3,52234
465242,VND,VN10251,Others,4,59500
2127990,VND,VN10338,Mortgage,44,192244
2663876,VND,VN10312,Mortgage,4,3541
2141492,VND,VN10115,Mortgage,1,2769
2141492,VND,VN10115,Mortgage,1,2769
3233406,VND,VN10291,Auto,4,299556
540664,VND,VN10289,Others,2,199500
124701,VND,VN10202,Others,8,719500
1945880,VND,VN10300,Mortgage,7,40104
2361477,VND,VN10115,Auto,1,12357
2361477,VND,VN10115,Auto,1,12357
2342346,VND,VN10130,Mortgage,6,107497
857973,VND,VN10243,Household,3,267001
550078,VND,VN10351,Mortgage,1,4387
2260730,VND,VN10337,Mortgage,82,15985
3342946,VND,VN10129,Household,4,118500
2777249,VND,VN10282,Household,3,303552
3015456,VND,VN10144,Auto,1,25657
3094344,VND,VN10338,Mortgage,18,500
858586,VND,VN10183,Household,6,571497
2121391,VND,VN10186,Mortgage,17,13994
2702759,VND,VN10264,Mortgage,6,16184
2102007,VND,VN10301,Household,7,65611
2263572,VND,VN10287,Household,1,69500
2350888,VND,VN10144,Mortgage,5,6209
623405,VND,VN10301,Mortgage,9,106238
1025228,VND,VN10123,Mortgage,6,27721
2645233,VND,VN10338,Mortgage,4,3923
2940811,VND,VN10207,Mortgage,2,7509
1832173,VND,VN10307,Mortgage,6,11793
2351335,VND,VN10211,Household,2,25750
2837909,VND,VN10171,Mortgage,6,25316
3123471,VND,VN10139,Mortgage,6,27441
1360303,VND,VN10116,Others,5,499500
1360303,VND,VN10116,Others,5,499500
3398924,VND,VN10148,Auto,2,44500
2778062,VND,VN10115,Mortgage,1,500
2778062,VND,VN10115,Mortgage,1,500
3265281,VND,VN10243,Household,1,24870
2420570,VND,VN10282,Household,1,325895
3032202,VND,VN10282,Household,6,600500
1897609,VND,VN10338,Mortgage,10,38280
3267558,VND,VN10338,Mortgage,36,28230
501105,VND,VN10306,Mortgage,6,76508
3098526,VND,VN10129,Auto,6,195383
3042196,VND,VN10186,Mortgage,13,38230
3298351,VND,VN10362,Mortgage,0,500
3315725,VND,VN10254,Mortgage,8,156806
208597,VND,VN10220,Household,8,1328700
2908894,VND,VN10233,Mortgage,1,18233
3335020,VND,VN10301,Mortgage,1,19163
2905751,VND,VN10144,Auto,4,36050
2174794,VND,VN10338,Mortgage,2,2654
2575743,VND,VN10183,Auto,8,265868
3005506,VND,VN10165,Mortgage,9,23378
2059975,VND,VN10146,Others,4,1679500
926202,VND,VN10219,Auto,0,500
2895813,VND,VN10174,Mortgage,7,37129
2222330,VND,VN10338,Mortgage,5,29500
2020529,VND,VN10272,Mortgage,6,9239
176478,VND,VN10115,Household,6,47352
176478,VND,VN10115,Household,6,47352
1531811,VND,VN10287,Household,3,18314
2175136,VND,VN10306,Household,3,373328
2646612,VND,VN10231,Mortgage,3,21627
1832912,VND,VN10211,Others,7,223500
2361847,VND,VN10170,Mortgage,4,25528
3383406,VND,VN10194,Mortgage,6,17500
3032866,VND,VN10243,Mortgage,5,46281
2895334,VND,VN10315,Mortgage,1,7206
2326357,VND,VN10338,Mortgage,4,9538
1786590,VND,VN10337,Mortgage,3,24510
2230159,VND,VN10338,Mortgage,9,51104
2948877,VND,VN10163,Mortgage,6,130454
3212884,VND,VN10223,Mortgage,1,4343
2939768,VND,VN10338,Mortgage,9,108251
1653274,VND,VN10338,Mortgage,9,40797
1240311,VND,VN10247,Mortgage,7,67134
528288,VND,VN10236,Household,9,408067
2152147,VND,VN10254,Household,5,139497
2706626,VND,VN10163,Auto,3,80470
1235402,VND,VN10277,Household,7,51791
1364498,VND,VN10338,Mortgage,0,500
686270,VND,VN10135,Mortgage,0,500
2252178,VND,VN10338,Mortgage,1,1401
1585612,VND,VN10210,Mortgage,4,13750
2791249,VND,VN10275,Auto,1,34810
2330931,VND,VN10331,Mortgage,5,8463
2089829,VND,VN10338,Mortgage,7,11587
2708773,VND,VN10289,Mortgage,4,12498
1633866,VND,VN10144,Auto,4,289100
1608310,VND,VN10178,Mortgage,1,2456
3056375,VND,VN10235,Household,6,219500
33489,VND,VN10142,Household,6,419500
3256243,VND,VN10306,Mortgage,14,73930
3260471,VND,VN10180,Mortgage,10,184381
699279,VND,VN10237,Mortgage,8,38521
1471063,VND,VN10354,Others,8,39500
2861272,VND,VN10338,Mortgage,9,9850
2689448,VND,VN10338,Mortgage,10,79430
2853028,VND,VN10142,Mortgage,7,62349
2737874,VND,VN10239,Household,9,601744
3238131,VND,VN10241,Auto,1,7233
2968626,VND,VN10290,Mortgage,35,51176
2135983,VND,VN10338,Mortgage,1,1649
1214064,VND,VN10338,Mortgage,3,4712
798205,VND,VN10338,Mortgage,1,8749
902358,VND,VN10170,Mortgage,6,65533
2910944,VND,VN10192,Mortgage,4,21475
2193734,VND,VN10151,Mortgage,2,10257
2839880,VND,VN10274,Mortgage,12,500
140823,VND,VN10351,Household,3,82800
2162614,VND,VN10232,Household,36,1326798
1765897,VND,VN10282,Mortgage,5,5858
2574106,VND,VN10115,Household,8,690700
2574106,VND,VN10115,Household,8,690700
1837016,VND,VN10295,Auto,3,131780
2225584,VND,VN10261,Mortgage,9,133587
1242241,VND,VN10132,Mortgage,8,159500
3074290,VND,VN10217,Mortgage,2,28602
2082849,VND,VN10162,Household,1,24750
629658,VND,VN10356,Household,2,78620
18590,VND,VN10248,Auto,10,110583
549225,VND,VN10272,Household,2,52500
2816209,VND,VN10337,Mortgage,61,35500
3271975,VND,VN10162,Mortgage,7,68539
2534813,VND,VN10252,Mortgage,9,36692
2828525,VND,VN10338,Mortgage,7,25676
2375317,VND,VN10316,Household,2,349499
2857861,VND,VN10124,Mortgage,6,70353
2758587,VND,VN10338,Mortgage,1,1153
2642753,VND,VN10307,Mortgage,3,17784
724169,VND,VN10288,Household,4,83500
2176755,VND,VN10204,Mortgage,8,23981
1725247,VND,VN10269,Mortgage,6,33012
3005371,VND,VN10233,Mortgage,6,41500
3236592,VND,VN10220,Mortgage,2,21180
3274407,VND,VN10170,Mortgage,2,18842
2797286,VND,VN10243,Household,9,179500
3272535,VND,VN10338,Mortgage,4,14508
3153345,VND,VN10338,Mortgage,5,13117
2633338,VND,VN10247,Auto,2,30749
2398551,VND,VN10282,Household,7,783353
887655,VND,VN10323,Household,0,500
2321709,VND,VN10292,Household,5,359494
3377749,VND,VN10338,Mortgage,5,48562
2361965,VND,VN10239,Auto,9,480179
2373890,VND,VN10284,Household,38,124833
1334630,VND,VN10261,Mortgage,1,19066
1626425,VND,VN10151,Mortgage,1,2245
3352696,VND,VN10187,Mortgage,8,78155
3093422,VND,VN10118,Mortgage,6,35733
167059,VND,VN10166,Mortgage,6,115550
3353098,VND,VN10119,Mortgage,5,54190
2564605,VND,VN10151,Mortgage,5,4856
3080636,VND,VN10139,Mortgage,16,84686
2984728,VND,VN10137,Household,8,911500
2682014,VND,VN10323,Household,1,623183
3141910,VND,VN10338,Mortgage,4,29454
1218769,VND,VN10338,Mortgage,1,1167
2133984,VND,VN10338,Mortgage,6,54044
3146792,VND,VN10338,Mortgage,21,19221
3060854,VND,VN10152,Mortgage,22,4843
1777317,VND,VN10114,Mortgage,2,21876
2232043,VND,VN10259,Mortgage,10,10196
3319792,VND,VN10260,Auto,1,38944
2797234,VND,VN10350,Mortgage,9,9400
3113912,VND,VN10338,Mortgage,9,183797
2271010,VND,VN10296,Auto,5,79500
1906613,VND,VN10170,Mortgage,8,41991
3157038,VND,VN10299,Mortgage,8,75284
3159142,VND,VN10252,Mortgage,4,58276
3337987,VND,VN10298,Mortgage,4,22798
2815227,VND,VN10337,Mortgage,20,7845
939588,VND,VN10274,Mortgage,2,8931
1747825,VND,VN10308,Mortgage,8,18491
2209458,VND,VN10338,Mortgage,4,16561
2339290,VND,VN10338,Mortgage,26,5335
833004,VND,VN10321,Mortgage,9,134421
3101978,VND,VN10249,Auto,8,246796
1722697,VND,VN10338,Mortgage,3,5536
2820250,VND,VN10275,Mortgage,9,9193
